bh_id,enum_id,strokes_water_1,strokes_water_2,strokes_water_3,pump_strokes_1,pump_strokes_2,pump_strokes_3,pump_time_1,pump_time_2,pump_time_3,pump_cap_1,pump_cap_2,pump_cap_3,leak_rate_10_1,leak_rate_10_2,leak_rate_10_3,flow_rate_1,flow_rate_2,flow_rate_3,conductivity,turbidity,starttime
104,e4,0,0,0,45,47,49,60,56,66,444.4444444,425.5319149,408.1632653,0,0,0,1.2,1.285714286,1.090909091,503,1.210000038,2019-11-18 02:18:18 UTC
104,e3,0,0,0,53,53,52,48,42,45,377.3584906,377.3584906,384.6153846,0,0,0,1.5,1.714285714,1.6,497,1.049999952,2019-11-18 02:19:20 UTC
105,e2,9,10,9,63,59,59,59,52,51,317.4603175,338.9830508,338.9830508,285.7142857,338.9830508,305.0847458,1.220338983,1.384615385,1.411764706,243,3.50999999,2019-11-19 02:29:36 UTC
105,e4,8,10,9,60,62,59,79,76,61,333.3333333,322.5806452,338.9830508,266.6666667,322.5806452,305.0847458,0.911392405,0.947368421,1.180327869,241,2.940000057,2019-11-19 02:28:34 UTC
105,e3,9,9,9,57,57,57,50,51,47,350.877193,350.877193,350.877193,315.7894737,315.7894737,315.7894737,1.44,1.411764706,1.531914894,243,4.989999771,2019-11-19 02:28:23 UTC
106,e1,4,3,3,89,62,72,96,67,68,224.7191011,322.5806452,277.7777778,89.88764045,96.77419355,83.33333333,0.75,1.074626866,1.058823529,303,1.5,2019-11-20 02:46:23 UTC
106,e2,4,4,3,77,73,73,70,66,64,259.7402597,273.9726027,273.9726027,103.8961039,109.5890411,82.19178082,1.028571429,1.090909091,1.125,299,2.380000114,2019-11-20 02:45:38 UTC
106,e4,3,3,3,78,82,71,130,94,89,256.4102564,243.902439,281.6901408,76.92307692,73.17073171,84.50704225,0.553846154,0.765957447,0.808988764,304,0.870000005,2019-11-20 02:45:43 UTC
106,e3,4,4,4,74,76,76,67,68,68,270.2702703,263.1578947,263.1578947,108.1081081,105.2631579,105.2631579,1.074626866,1.058823529,1.058823529,303,1.730000019,2019-11-20 02:54:12 UTC
107,e1,0,0,0,60,57,57,53,46,45,333.3333333,350.877193,350.877193,0,0,0,1.358490566,1.565217391,1.6,287,2.900000095,2019-11-21 01:59:56 UTC
107,e2,0,0,0,57,57,57,49,47,44,350.877193,350.877193,350.877193,0,0,0,1.469387755,1.531914894,1.636363636,286,2.839999914,2019-11-21 03:03:29 UTC
107,e4,0,0,0,58,55,55,46,35,37,344.8275862,363.6363636,363.6363636,0,0,0,1.565217391,2.057142857,1.945945946,287,1.399999976,2019-11-21 03:02:31 UTC
107,e3,0,0,0,55,51,50,42,38,37,363.6363636,392.1568627,400,0,0,0,1.714285714,1.894736842,1.945945946,288,3.720000029,2019-11-21 01:58:36 UTC
108,e1,1,1,1,69,79,67,69,64,63,289.8550725,253.164557,298.5074627,28.98550725,25.3164557,29.85074627,1.043478261,1.125,1.142857143,410,3.769999981,2019-11-22 02:07:16 UTC
108,e2,1,1,1,68,66,70,58,69,68,294.1176471,303.030303,285.7142857,29.41176471,30.3030303,28.57142857,1.24137931,1.043478261,1.058823529,415,3.519999981,2019-11-22 02:49:10 UTC
108,e4,0,1,1,49,42,42,86,90,90,408.1632653,476.1904762,476.1904762,0,47.61904762,47.61904762,0.837209302,0.8,0.8,410,7.340000153,2019-11-22 01:49:22 UTC
