bh_id,measure_num,strokes_water,pump_strokes,pump_time,pump_cap,leak_rate_10,flow_rate,conductivity,turbidity,starttime
201,1,0,63,92,317.4603175,0,0.782608696,225,0.529999971,2020-11-22 23:36:47 UTC
201,2,0,60,91,333.3333333,0,0.791208791,247,0.25,2020-11-22 23:44:01 UTC
201,3,0,69,95,289.8550725,0,0.757894737,246,0.330000013,2020-11-23 02:31:51 UTC
201,4,0,60,71,333.3333333,0,1.014084507,237,0.170000002,2020-11-23 02:47:53 UTC
201,5,0,49,44,408.1632653,0,1.636363636,250,0.02,2020-11-23 02:56:16 UTC
202,1,4,79,80,253.164557,101.2658228,0.9,80.80000305,0.980000019,2020-12-01 00:13:13 UTC
202,2,5,79,73,253.164557,126.5822785,0.98630137,82.69999695,1.889999986,2020-12-01 00:22:39 UTC
202,3,3,77,76,259.7402597,77.92207792,0.947368421,79.5,1.159999967,2020-12-01 00:38:35 UTC
202,4,4,81,77,246.9135802,98.7654321,0.935064935,77.69999695,0.949999988,2020-12-01 03:27:59 UTC
202,5,3,76,71,263.1578947,78.94736842,1.014084507,77.80000305,1.169999957,2020-12-01 04:09:14 UTC
203,1,0,93,104,215.0537634,0,0.692307692,46.5,4.559999943,2020-11-30 22:52:10 UTC
203,2,1,95,149,210.5263158,21.05263158,0.483221477,46.29999924,2.390000105,2020-11-30 23:15:11 UTC
203,3,0,85,66,235.2941176,0,1.090909091,45.20000076,4.019999981,2020-12-01 01:35:12 UTC
203,4,0,90,106,222.2222222,0,0.679245283,45.70000076,3.539999962,2020-12-01 01:39:44 UTC
203,5,0,91,144,219.7802198,0,0.5,46.40000153,6.269999981,2020-12-01 02:03:29 UTC
204,1,4,273,204,73.26007326,29.3040293,0.352941176,77.30000305,1.75,2020-11-30 23:53:36 UTC
204,2,4,270,235,74.07407407,29.62962963,0.306382979,80.69999695,2.50999999,2020-12-01 00:12:57 UTC
204,3,4,260,174,76.92307692,30.76923077,0.413793103,76.80000305,1.799999952,2020-12-01 02:00:46 UTC
204,4,5,210,142,95.23809524,47.61904762,0.507042254,77.80000305,2.430000067,2020-12-01 02:08:44 UTC
204,5,2,232,174,86.20689655,17.24137931,0.413793103,78.19999695,2.140000105,2020-12-01 02:52:31 UTC
205,1,4,58,69,344.8275862,137.9310345,1.043478261,223,0.949999988,2020-11-23 00:29:13 UTC
205,2,1,64,57,312.5,31.25,1.263157895,224,0.819999993,2020-11-23 02:51:54 UTC
205,3,0,55,68,363.6363636,0,1.058823529,228,0.129999995,2020-11-23 03:05:45 UTC
205,4,0,65,79,307.6923077,0,0.911392405,227,0.74000001,2020-11-23 03:37:36 UTC
205,5,0,53,75,377.3584906,0,0.96,222,0.850000024,2020-11-23 03:52:13 UTC
206,1,0,51,60,392.1568627,0,1.2,383,2.859999895,2020-11-22 23:50:17 UTC
206,2,0,52,51,384.6153846,0,1.411764706,385,2.519999981,2020-11-23 03:15:54 UTC
206,3,0,48,51,416.6666667,0,1.411764706,,2.440000057,2020-11-23 03:27:40 UTC
206,4,0,56,62,357.1428571,0,1.161290323,380,1.960000038,2020-11-23 03:48:21 UTC
206,5,0,53,73,377.3584906,0,0.98630137,381,1.529999971,2020-11-23 05:43:04 UTC
207,1,1,54,78,370.3703704,37.03703704,0.923076923,233,3.619999886,2020-11-24 00:34:10 UTC
207,2,1,53,79,377.3584906,37.73584906,0.911392405,231,6.489999771,2020-11-24 00:55:16 UTC
207,3,1,51,72,392.1568627,39.21568627,1,232,1.74000001,2020-11-24 03:43:49 UTC
207,4,1,51,72,392.1568627,39.21568627,1,234,0.430000007,2020-11-24 04:02:18 UTC
207,5,0,42,40,476.1904762,0,1.8,230,0.50999999,2020-11-24 04:07:04 UTC
208,1,5,71,72,281.6901408,140.8450704,1,645,0.319999993,2020-12-02 00:59:15 UTC
208,2,5,70,72,285.7142857,142.8571429,1,750,0.50999999,2020-12-02 01:09:13 UTC
